stu_id,category,year_of_study,ai_hours,ai_use,prompt_skill,tool_diversity,dependence
100233,Business,Sophomore,5.41,Ideation,Beginner,1,3
100234,Humanities,Graduate,0.76,Debugging/Troubleshooting,Advanced,5,2
100235,STEM,Sophomore,8.17,Direct_Answer_Generation,Advanced,3,3
100236,Business,Graduate,0.26,Ideation,Beginner,3,1
100237,STEM,Freshman,8.76,Copywriting/Drafting,Intermediate,3,2
100238,STEM,Junior,3.97,Direct_Answer_Generation,Advanced,4,1
100239,Business,Graduate,15.28,Ideation,Beginner,2,6
100240,STEM,Freshman,7.75,Debugging/Troubleshooting,Beginner,1,3
100241,Medical,Sophomore,5.97,Summarizing_Reading,Beginner,1,2
100242,Medical,Graduate,9.68,Summarizing_Reading,Beginner,2,6
100243,Medical,Junior,1.62,Summarizing_Reading,Advanced,3,5
100244,Humanities,Senior,0.67,Copywriting/Drafting,Beginner,2,3
100245,STEM,Senior,22.12,Ideation,Intermediate,2,7
100246,Medical,Junior,19.75,Direct_Answer_Generation,Beginner,2,6
100247,Humanities,Senior,9.09,Copywriting/Drafting,Beginner,3,2
100248,Medical,Junior,14.79,Debugging/Troubleshooting,Advanced,3,2
100249,Medical,Senior,7.89,Summarizing_Reading,Intermediate,4,6
100250,Arts,Freshman,5.74,Copywriting/Drafting,Beginner,1,4
100251,STEM,Graduate,12.75,Ideation,Advanced,3,6
100252,Humanities,Senior,9.12,Direct_Answer_Generation,Advanced,4,5
100253,Arts,Sophomore,1.43,Copywriting/Drafting,Beginner,3,3
100254,Humanities,Junior,11.89,Debugging/Troubleshooting,Intermediate,3,4
100255,STEM,Sophomore,25.73,Copywriting/Drafting,Beginner,2,7
100256,Business,Senior,7.93,Ideation,Intermediate,2,1
100257,Medical,Graduate,3.38,Direct_Answer_Generation,Advanced,3,1
100258,Business,Freshman,2.17,Summarizing_Reading,Advanced,3,1
100259,Business,Graduate,7.72,Copywriting/Drafting,Advanced,3,2
100260,STEM,Freshman,0.74,Debugging/Troubleshooting,Advanced,3,2
100261,Business,Junior,20.81,Ideation,Advanced,3,5
100262,Medical,Junior,5.02,Summarizing_Reading,Intermediate,2,1
100263,STEM,Sophomore,18.43,Debugging/Troubleshooting,Intermediate,3,3
100264,Business,Junior,22.73,Summarizing_Reading,Beginner,3,7
100265,Medical,Senior,1.62,Summarizing_Reading,Intermediate,3,4
100266,Business,Sophomore,10.66,Debugging/Troubleshooting,Beginner,1,3
100267,Business,Freshman,12.22,Ideation,Intermediate,1,5
100268,Business,Junior,23.57,Copywriting/Drafting,Intermediate,4,6
100269,Humanities,Senior,3.46,Copywriting/Drafting,Intermediate,3,1
100270,STEM,Graduate,0.86,Ideation,Beginner,1,1
100271,Arts,Freshman,9.42,Copywriting/Drafting,Beginner,1,5
100272,Arts,Graduate,1.3,Debugging/Troubleshooting,Beginner,2,5
100273,Arts,Junior,3.95,Copywriting/Drafting,Beginner,2,3
100274,Medical,Sophomore,21.31,Summarizing_Reading,Beginner,3,8
100275,Business,Graduate,0.8,Copywriting/Drafting,Intermediate,4,4
100276,Business,Sophomore,6.5,Summarizing_Reading,Intermediate,3,1
100277,Arts,Senior,0.39,Copywriting/Drafting,Beginner,3,1
100278,Business,Senior,14.54,Ideation,Beginner,1,4
100279,Business,Junior,1.65,Copywriting/Drafting,Beginner,2,5
100280,Arts,Senior,0.33,Summarizing_Reading,Beginner,2,2
100281,Medical,Junior,5.79,Debugging/Troubleshooting,Beginner,2,1
100282,Humanities,Freshman,5.69,Copywriting/Drafting,Beginner,1,5
100283,Humanities,Senior,7.31,Copywriting/Drafting,Advanced,3,3
100284,STEM,Graduate,21.44,Debugging/Troubleshooting,Intermediate,3,4
100285,Business,Junior,0.49,Ideation,Intermediate,4,1
100286,STEM,Graduate,11.33,Direct_Answer_Generation,Intermediate,2,4
100287,Humanities,Junior,0.61,Ideation,Beginner,2,1
100288,Business,Junior,13.55,Ideation,Advanced,4,6
100289,STEM,Senior,4.77,Direct_Answer_Generation,Advanced,3,2
100290,Business,Freshman,4.78,Debugging/Troubleshooting,Advanced,5,2
100291,STEM,Graduate,8.49,Debugging/Troubleshooting,Intermediate,2,3
100292,STEM,Senior,29.02,Summarizing_Reading,Intermediate,1,6
100293,Arts,Graduate,16.4,Copywriting/Drafting,Beginner,2,4
100294,Humanities,Junior,6.12,Copywriting/Drafting,Beginner,2,3
100295,STEM,Graduate,4.2,Debugging/Troubleshooting,Intermediate,3,5
100296,Business,Senior,24.66,Copywriting/Drafting,Advanced,4,5
100297,Arts,Junior,10.72,Summarizing_Reading,Advanced,5,5
100298,STEM,Graduate,18.58,Direct_Answer_Generation,Advanced,3,6
100299,Business,Junior,3.03,Ideation,Advanced,3,2
100300,STEM,Junior,0.12,Debugging/Troubleshooting,Intermediate,3,5
100301,STEM,Freshman,13.25,Copywriting/Drafting,Intermediate,3,6
100302,Business,Graduate,3.16,Ideation,Intermediate,3,3
100303,Business,Sophomore,27.29,Ideation,Beginner,1,7
100304,Business,Freshman,6.81,Ideation,Beginner,3,1
100305,Business,Freshman,40,Ideation,Advanced,5,9
100306,Medical,Junior,0.41,Summarizing_Reading,Beginner,1,1
100307,Business,Sophomore,4.54,Summarizing_Reading,Beginner,1,5
100308,Humanities,Senior,7.94,Ideation,Intermediate,1,3
100309,Arts,Sophomore,1.79,Copywriting/Drafting,Beginner,2,2
100310,STEM,Senior,3.31,Debugging/Troubleshooting,Beginner,3,4
100311,Humanities,Freshman,8.83,Debugging/Troubleshooting,Advanced,3,1
100312,STEM,Sophomore,11.05,Debugging/Troubleshooting,Intermediate,1,4
100313,STEM,Senior,0.28,Debugging/Troubleshooting,Beginner,2,2
100314,Medical,Sophomore,2.26,Summarizing_Reading,Intermediate,2,1
100315,Arts,Freshman,8.17,Debugging/Troubleshooting,Advanced,3,2
100316,Business,Graduate,1.92,Ideation,Beginner,2,3
100317,Humanities,Freshman,15.07,Copywriting/Drafting,Advanced,4,3
100318,STEM,Freshman,4.48,Debugging/Troubleshooting,Advanced,4,2
100319,STEM,Sophomore,4.23,Direct_Answer_Generation,Intermediate,1,4
100320,STEM,Freshman,40,Debugging/Troubleshooting,Intermediate,1,7
100321,Business,Freshman,1.01,Ideation,Intermediate,3,2
100322,Business,Senior,5.8,Debugging/Troubleshooting,Advanced,4,5
100323,Business,Freshman,1.01,Ideation,Beginner,1,1
100324,STEM,Freshman,7.49,Debugging/Troubleshooting,Intermediate,2,2
100325,Medical,Graduate,2.16,Summarizing_Reading,Beginner,1,5
100326,Business,Junior,4.37,Ideation,Beginner,3,3
100327,Business,Freshman,19.48,Copywriting/Drafting,Intermediate,3,4
100328,Business,Junior,1.24,Copywriting/Drafting,Intermediate,2,2
100329,Humanities,Freshman,5.16,Debugging/Troubleshooting,Intermediate,3,1
100330,STEM,Junior,8.89,Direct_Answer_Generation,Intermediate,2,5
100331,Humanities,Junior,1.27,Summarizing_Reading,Beginner,2,3
100332,Arts,Graduate,29.13,Debugging/Troubleshooting,Intermediate,3,7
100333,STEM,Sophomore,0.65,Debugging/Troubleshooting,Intermediate,3,5
100334,STEM,Senior,40,Debugging/Troubleshooting,Advanced,4,8
100335,STEM,Freshman,1.88,Summarizing_Reading,Intermediate,4,5
100336,STEM,Junior,13.65,Debugging/Troubleshooting,Advanced,3,4
100337,Arts,Sophomore,2.92,Copywriting/Drafting,Advanced,3,2
100338,Business,Junior,9.42,Ideation,Beginner,2,4
100339,Humanities,Sophomore,0.34,Debugging/Troubleshooting,Advanced,5,5
100340,STEM,Graduate,15.4,Copywriting/Drafting,Beginner,2,4
100341,Humanities,Graduate,2.4,Direct_Answer_Generation,Beginner,2,3
100342,Humanities,Junior,3.66,Direct_Answer_Generation,Beginner,2,3
100343,STEM,Freshman,23.54,Copywriting/Drafting,Advanced,5,8
100344,Humanities,Junior,6.82,Debugging/Troubleshooting,Advanced,3,2
100345,Humanities,Senior,17.5,Copywriting/Drafting,Intermediate,3,3
100346,Business,Freshman,32.77,Ideation,Intermediate,5,8
100347,Business,Junior,4.77,Ideation,Intermediate,3,2
100348,STEM,Freshman,1.13,Copywriting/Drafting,Advanced,5,3
100349,Humanities,Sophomore,4.99,Summarizing_Reading,Beginner,2,2
100350,Business,Freshman,7.2,Debugging/Troubleshooting,Intermediate,3,2
100351,Business,Graduate,1.94,Direct_Answer_Generation,Advanced,3,1
100352,Arts,Freshman,4.93,Copywriting/Drafting,Beginner,2,1
100353,Business,Freshman,8.26,Summarizing_Reading,Beginner,1,3
100354,STEM,Graduate,9.77,Debugging/Troubleshooting,Beginner,1,3
100355,STEM,Junior,3.84,Copywriting/Drafting,Beginner,1,1
100356,Business,Senior,9.04,Direct_Answer_Generation,Intermediate,3,2
100357,STEM,Sophomore,32.69,Debugging/Troubleshooting,Beginner,2,9
100358,Business,Junior,2.75,Ideation,Beginner,2,1
100359,Medical,Freshman,13.87,Summarizing_Reading,Advanced,3,4
100360,Business,Sophomore,27.87,Ideation,Advanced,5,9
100361,Humanities,Junior,21.76,Copywriting/Drafting,Beginner,3,6
100362,Business,Junior,2.73,Ideation,Beginner,1,3
100363,Humanities,Sophomore,8.71,Debugging/Troubleshooting,Intermediate,2,4
100364,Business,Senior,35.34,Ideation,Intermediate,3,9
100365,Medical,Junior,7.96,Summarizing_Reading,Beginner,2,6
100366,Humanities,Junior,2.81,Copywriting/Drafting,Beginner,3,5
100367,Medical,Freshman,4.59,Direct_Answer_Generation,Advanced,4,4
100368,Medical,Graduate,12.35,Summarizing_Reading,Advanced,3,8
100369,STEM,Sophomore,5.67,Debugging/Troubleshooting,Beginner,3,4
100370,STEM,Junior,7.67,Debugging/Troubleshooting,Advanced,4,6
100371,STEM,Sophomore,2.72,Direct_Answer_Generation,Advanced,4,2
100372,STEM,Graduate,0.68,Debugging/Troubleshooting,Beginner,1,1
100373,STEM,Graduate,1.85,Debugging/Troubleshooting,Advanced,4,1
100374,Business,Sophomore,24.8,Ideation,Intermediate,3,5
100375,STEM,Senior,7.19,Debugging/Troubleshooting,Advanced,3,4
100376,Humanities,Freshman,11.65,Copywriting/Drafting,Intermediate,4,2
100377,Arts,Freshman,15.96,Copywriting/Drafting,Advanced,4,5
100378,STEM,Senior,2.87,Debugging/Troubleshooting,Advanced,4,2
100379,Arts,Freshman,1.03,Direct_Answer_Generation,Beginner,1,3
100380,STEM,Freshman,7.85,Debugging/Troubleshooting,Intermediate,5,5
100381,STEM,Junior,33.26,Debugging/Troubleshooting,Intermediate,1,7
100382,Business,Senior,1.98,Ideation,Intermediate,1,1
100383,Business,Freshman,2.3,Ideation,Advanced,5,5
100384,Medical,Freshman,12.68,Summarizing_Reading,Intermediate,5,3
100385,Business,Freshman,13.92,Debugging/Troubleshooting,Beginner,3,6
100386,Arts,Freshman,2.62,Ideation,Beginner,2,2
100387,STEM,Freshman,4.82,Direct_Answer_Generation,Intermediate,4,2
100388,STEM,Graduate,12.15,Direct_Answer_Generation,Intermediate,1,3
100389,Arts,Freshman,1.76,Copywriting/Drafting,Beginner,2,1
100390,Arts,Junior,9.15,Copywriting/Drafting,Intermediate,4,3
100391,Medical,Graduate,5.96,Direct_Answer_Generation,Intermediate,3,4
100392,Humanities,Junior,4.97,Direct_Answer_Generation,Advanced,3,3
100393,Humanities,Freshman,9.24,Debugging/Troubleshooting,Beginner,3,3
100394,Arts,Junior,0.86,Copywriting/Drafting,Beginner,2,1
100395,Humanities,Graduate,1.25,Copywriting/Drafting,Beginner,1,5
100396,Medical,Sophomore,13.42,Copywriting/Drafting,Advanced,3,4
